Story ID,Story Name,Story Points,Complexity,Technical Debt Factor,Dependencies,Priority
US001,User Login and Authentication,8,Medium,0.10,,High
US002,Password Reset Functionality,5,Medium,0.08,,High
US003,User Profile Creation,5,Medium,0.12,US001,High
US004,Profile Picture Upload,3,Small,0.05,US003,Medium
US005,Edit Profile Information,5,Medium,0.10,US003,High
US006,Dashboard Overview Page,13,Large,0.15,US001,High
US007,Real-time Notifications,8,Medium,0.18,US001,High
US008,Email Notification Settings,3,Small,0.05,US007,Medium
US009,Push Notification Support,8,Medium,0.20,US007,Medium
US010,Product Catalog Display,13,Large,0.15,,High
US011,Product Search Functionality,8,Medium,0.12,US010,High
US012,Advanced Filter Options,5,Medium,0.10,US011,Medium
US013,Sort Products by Price,3,Small,0.05,US010,Medium
US014,Sort Products by Rating,3,Small,0.05,US010,Medium
US015,Product Detail Page,8,Medium,0.12,US010,High
US016,Product Image Gallery,5,Medium,0.08,US015,Medium
US017,Product Reviews Display,5,Medium,0.10,US015,Medium
US018,Write Product Review,8,Medium,0.15,US001|US015,Medium
US019,Rating System Implementation,5,Medium,0.12,US015,Medium
US020,Shopping Cart Functionality,13,Large,0.18,US001,High
US021,Add Items to Cart,5,Medium,0.10,US020,High
US022,Remove Items from Cart,3,Small,0.05,US020,High
US023,Update Cart Quantities,3,Small,0.08,US020,High
US024,Cart Total Calculation,5,Medium,0.10,US020,High
US025,Apply Discount Codes,8,Medium,0.15,US020,Medium
US026,Checkout Process,13,Large,0.20,US020,High
US027,Shipping Address Entry,5,Medium,0.10,US026,High
US028,Multiple Shipping Addresses,8,Medium,0.15,US027,Medium
US029,Billing Information Entry,5,Medium,0.10,US026,High
US030,Payment Gateway Integration,13,Large,0.25,US026,High
US031,Credit Card Payment,8,Medium,0.15,US030,High
US032,PayPal Integration,8,Medium,0.18,US030,High
US033,Apple Pay Support,8,Medium,0.20,US030,Medium
US034,Order Confirmation Page,5,Medium,0.08,US026,High
US035,Order Confirmation Email,5,Medium,0.10,US034,High
US036,Order History View,8,Medium,0.12,US001,High
US037,Order Details Display,5,Medium,0.10,US036,Medium
US038,Track Order Status,8,Medium,0.15,US036,High
US039,Cancel Order Functionality,5,Medium,0.12,US036,Medium
US040,Return Request Submission,8,Medium,0.18,US036,Medium
US041,Wishlist Feature,8,Medium,0.12,US001,Medium
US042,Add to Wishlist,3,Small,0.05,US041,Medium
US043,Remove from Wishlist,3,Small,0.05,US041,Medium
